col_index,team1_name,team1_spread,team2_name,team2_spread
0,Notre Dame,-6.5,Arkansas,6.5
1,Rutgers,5.5,Minnesota,-5.5
2,Illinois,4.5,USC,-4.5
3,Central Michigan,-5.5,Eastern Michigan,5.5
4,Washington,10.5,Ohio State,-10.5
5,Northwestern,-6.5,UCLA,6.5
6,Indiana,-3.5,Iowa,3.5
7,Ole Miss,-1.5,LSU,1.5
8,Auburn,6.5,Texas A&M,-6.5
9,Utah,-9.5,West Virginia,9.5
10,Mississippi State,7.5,Tennessee,-7.5
11,Iowa State,-6.5,Arizona,6.5
12,Oregon,3.5,Penn State,-3.5
13,Alabama,3.5,Georgia,-3.5
14,Missouri,-43.5,Massachusetts,43.5
