col_index,team1_name,team1_spread,team2_name,team2_spread
0,Vanderbilt,3.5,Texas,-3.5
1,Illinois,-13.5,Rutgers,13.5
2,Ohio State,-20.5,Penn State,20.5
3,Miami,-10.5,SMU,10.5
4,Arizona State,3.5,Iowa State,-3.5
5,Indiana,-21.5,Maryland,21.5
6,Boston College,28.5,Notre Dame,-28.5
7,Florida,7.5,Georgia,-7.5
8,Michigan State,5.5,Minnesota,-5.5
9,Western Michigan,-6.5,Central Michigan,6.5
10,Purdue,21.5,Michigan,-21.5
11,Auburn,-10.5,Kentucky,10.5
12,Tennessee,-3.5,Oklahoma,3.5
13,Nebraska,6.5,USC,-6.5
14,Utah,-7.5,Cincinnati,7.5
